iter	RMSE
187	0.2168803555
188	0.2159544478
189	0.2152291748
190	0.2150260426
191	0.214943458
192	0.2140160182
193	0.2135370626
194	0.2133684188
195	0.2129231773
196	0.2120560765
197	0.2117448318
198	0.2114790371
199	0.2110879646
200	0.2110206156
201	0.2105145168
202	0.2098985177
203	0.2097559378
204	0.2090775003
205	0.2086894903
206	0.2082821912
207	0.2080883185
208	0.2072531278
209	0.2069076363
210	0.2066088853
211	0.2064651778
212	0.2060246293
213	0.2058259439
214	0.2054412576
215	0.2049053995
216	0.2043810953
217	0.2037807507
218	0.2034223403
219	0.2028387503
220	0.2024254856
221	0.2020899368
222	0.2017425409
223	0.2011946528
224	0.2010543867
225	0.2006442484
226	0.2003627934
227	0.2000018148
228	0.1994791636
229	0.19944539
230	0.198881372
231	0.1984549805
232	0.1982803354
233	0.1979822558
234	0.1975452983
235	0.1968723901
236	0.1968492289
237	0.196595418
238	0.1963978277
239	0.1959874003
240	0.1956508832
241	0.1952144075
242	0.1946843833
243	0.194529217
244	0.1943387878
245	0.194124163
246	0.193892924
247	0.1935833592
248	0.1933844546
249	0.1926758837
250	0.1920741392
251	0.1913632833
252	0.1908360207
253	0.1907234022
254	0.1904290711
255	0.1899881089
256	0.1898061476
257	0.1894300565
258	0.1888966279
259	0.1883500793
260	0.1880738282
261	0.1877889242
262	0.1875607754
263	0.1874653364
264	0.1871528681
265	0.186577133
266	0.1860230167
267	0.1858305713
268	0.1857394056
269	0.1854606737
270	0.1853649723
271	0.1851681436
272	0.1847252195
273	0.1845472756
274	0.1841753441
275	0.1838609437
276	0.1834893613
277	0.1829462191
278	0.1824911275
279	0.1824307013
280	0.1821371522
281	0.1818789313
282	0.1817248064
283	0.1813662604
284	0.1809054592
285	0.1806275793
286	0.1804499127
287	0.1801037617
288	0.1795996993
289	0.1795781522
290	0.1793441853
291	0.1791416609
292	0.1786559706
293	0.1784509219
294	0.1783906893
295	0.1781028231
296	0.1778138709
297	0.1777879818
298	0.1773919963
299	0.1771258221
300	0.1765255819
301	0.1764758007
302	0.1762369228
303	0.1760820907
304	0.1758827469
305	0.175811735
306	0.1752524159
307	0.1752094643
308	0.1749492118
309	0.1747966439
310	0.1743670688
311	0.173698058
312	0.1734337614
313	0.1732380109
314	0.1731272537
315	0.1727980564
316	0.1722121576
317	0.1718994964
318	0.171581501
319	0.1712436977
320	0.1709515674
321	0.1706432558
322	0.1705883094
323	0.170250333
324	0.1697619803
325	0.1693916479
326	0.1689410482
327	0.1687529116
328	0.168609258
329	0.1685725711
330	0.1681440283
331	0.1677708839
332	0.1675398256
333	0.1675206748
334	0.1672446542
335	0.1670061316
336	0.166797854
337	0.1664282167
338	0.1662063244
339	0.1660836271
340	0.1659038228
341	0.1657911527
342	0.1657417537
343	0.1653387537
344	0.165112437
345	0.1649092058
346	0.1646311196
347	0.1643783763
348	0.1641531799
349	0.1639845907
350	0.1638977082
351	0.1636746434
352	0.1634749611
353	0.1631135835
354	0.1629981922
355	0.1627168058
356	0.1620481842
357	0.1619619722
358	0.1617975048
359	0.1615885364
360	0.1612015272
361	0.1609255146
362	0.1606508511
363	0.1604850797
364	0.1602633241
365	0.1600239249
366	0.160005334
367	0.1598192475
368	0.1593959096
369	0.1593144529
370	0.1588171064
371	0.1585737377
372	0.1583617086
373	0.1582022646
374	0.1581830562
375	0.1580119281
376	0.1579302396
377	0.1576719042
378	0.1574160444
379	0.1572049013
380	0.1570941889
381	0.1568021489
382	0.156640329
383	0.1563846497
384	0.1560820728
385	0.1557935703
386	0.1556960356
387	0.1556574357
388	0.1551800854
389	0.1551188397
390	0.1548480431
391	0.1545404847
392	0.1543414101
393	0.1540130986
394	0.153904226
395	0.1538699026
396	0.1536379824
397	0.1535211702
398	0.1532127705
399	0.1527450066
400	0.1525948122
401	0.1521729388
402	0.1520892673
403	0.1517747346
404	0.1512003672
405	0.1509605105
406	0.150808634
407	0.1504827995
408	0.1503253552
409	0.1502877431
410	0.1502795829
411	0.150187262
412	0.1499466427
413	0.14986139
414	0.1496007997
415	0.1494172261
416	0.1492919522
417	0.1491304493
418	0.1490039336
419	0.1488477814
420	0.1486662983
421	0.1483891681
422	0.1483403791
423	0.1481991029
424	0.1481652048
425	0.1477750061
426	0.1476887765
427	0.1473944859
428	0.1473162308
429	0.1472252019
430	0.1469181882
431	0.1468792494
432	0.1465881631
433	0.1465031566
434	0.1463315498
435	0.1459505454
436	0.1457511667
437	0.1456308597
438	0.1455655931
439	0.1454193034
440	0.1452494071
441	0.144728423
442	0.1444967057
443	0.1444388469
444	0.1442583744
445	0.1438978724
446	0.1436958489
447	0.1436703217
448	0.143661189
449	0.1433689737
450	0.1432113141
451	0.1431223724
452	0.1430681082
453	0.1427991145
454	0.142503404
455	0.1423026557
456	0.1420464561
457	0.141888268
458	0.141630777
459	0.1416099753
460	0.1414372675
461	0.1411735843
462	0.1411450904
463	0.1409236914
464	0.1407298671
465	0.1405968878
466	0.1402440936
467	0.1399497379
468	0.1397898242
469	0.1396240815
470	0.1395325825
471	0.1391854323
472	0.1388517093
473	0.1384498287
474	0.1383136786
475	0.1380201092
476	0.137874559
477	0.1374902512
478	0.1373462169
479	0.1371948864
480	0.1371714906
481	0.1371095945
482	0.1368433291
483	0.1365278393
484	0.1362822984
485	0.1362117534
486	0.1359850127
487	0.1358032309
488	0.135511796
489	0.1354221781
490	0.1351407783
491	0.1351125157
492	0.1347401267
493	0.1344753047
494	0.1342094005
495	0.1338871503
496	0.1338433742
497	0.1336421267
498	0.1334816765
499	0.1332709394
