name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
dimer_004037,-19862.3499215414,-19870.024463978,1.806673963714,-19860.5432475777,1.11854,-6.4925,0.0212,6.5137,-19609.4390337328,-19618.5074295212,1.77508669848,-19607.6639470343,0.95302,-9.2762,6.1048,15.381,226.32
dimer_004038,-20735.7307343792,-20742.8043862455,1.79322989943,-20733.9375047519,2.08554,-6.7126,-0.3902,6.3224,-20473.3817063607,-20481.7186194442,1.741838993618,-20471.6398673671,2.25915,-9.2166,5.4168,14.6334,228.30
dimer_004056,-19863.9185199732,-19871.7602440813,1.721159962302,-19862.1973600109,0.23418,-6.652,0.023,6.675,-19612.3016153246,-19621.5935345324,1.718977608022,-19610.5826377166,1.35838,-9.7306,6.3511,16.0817,226.32
dimer_004066,-19862.1937923243,-19869.9210160313,1.786475757836,-19860.4073165665,2.35539,-6.5943,-0.1305,6.4638,-19610.0566116942,-19619.2354871272,1.76379804919,-19608.292813645,1.1705,-9.874,6.2006,16.0746,226.32
dimer_004067,-20734.9800292693,-20742.01860809,1.809625040044,-20733.1704042292,0.76007,-5.9449,-0.1158,5.8291,-20473.937688597,-20482.3340852568,1.744153051074,-20472.193535546,2.39094,-8.8126,6.059,14.8716,228.30
dimer_004070,-19862.1425293121,-19869.8095575927,1.846069812292,-19860.2964592277,1.20303,-6.4745,0.0374,6.5119,-19609.0916546331,-19618.145223746,1.815282834332,-19607.2763717987,1.15689,-9.4803,6.2396,15.7199,226.32
dimer_004072,-20734.8883331099,-20741.9255611567,1.826128209916,-20733.0622046278,1.53903,-6.4262,0.018,6.4442,-20472.6932867848,-20480.9372808286,1.809406804616,-20470.8838799802,2.88582,-9.5813,6.1441,15.7254,228.30
dimer_004081,-19863.8928438404,-19871.842553124,1.687705722914,-19862.2051381175,2.45053,-6.6372,-0.1087,6.5285,-19612.3594444477,-19621.8105285763,1.635397792922,-19610.7240466548,1.31282,-9.5964,6.2974,15.8938,226.32
dimer_004107,-19863.8970245999,-19871.730847878,1.738435119592,-19862.1585894803,0.76814,-6.6775,-0.0615,6.616,-19612.3393738633,-19621.6497611761,1.70661601323,-19610.6327575779,1.00296,-9.6104,6.3874,15.9978,226.32
dimer_004113,-19862.1810201095,-19869.8566080081,1.821630709724,-19860.3593893998,2.53498,-6.6843,-0.2915,6.3928,-19610.2263147739,-19619.3979492534,1.758944623886,-19608.46737015,0.91452,-9.8426,6.1857,16.0283,226.32
dimer_004115,-20735.3421242941,-20742.3772864514,1.803375397806,-20733.5387488963,1.34206,-6.0353,-0.4209,5.6144,-20474.0781154758,-20482.4209026842,1.770001159934,-20472.3081143158,2.12141,-8.8811,6.0265,14.9076,228.30
dimer_004117,-19862.3399945506,-19870.0358007915,1.812818569948,-19860.5271762527,1.23481,-6.4626,-0.361,6.1016,-19610.2897472685,-19619.3907904783,1.824974174442,-19608.464773094,0.7579,-9.8268,6.2034,16.0302,226.32
dimer_004119,-20735.9846934773,-20743.0998759265,1.767840846888,-20734.2168526305,2.08671,-6.448,-0.3839,6.0641,-20474.2415626547,-20482.615983932,1.75801018441,-20472.4835524702,2.13506,-9.1692,6.0932,15.2624,228.30
dimer_004127,-19862.2648339426,-19870.012006327,1.786830594492,-19860.4780033481,1.18686,-6.486,0.0824,6.5684,-19610.2784515442,-19619.4668977708,1.768298270522,-19608.5101535458,0.89266,-9.3649,6.2425,15.6074,226.32
dimer_004131,-19862.1760864105,-19869.8367583802,1.832324789924,-19860.3437616206,1.03528,-6.4407,-0.1062,6.3345,-19609.1806043458,-19618.2823468886,1.731529682614,-19607.4490746632,0.88777,-9.4199,5.9963,15.4162,226.32
dimer_004132,-20735.558201586,-20742.6025220121,1.831677158604,-20733.7265244273,2.37539,-6.4909,-0.0278,6.4631,-20473.0466306234,-20481.3133491795,1.811582083932,-20471.2350485394,2.53203,-9.2828,5.9629,15.2457,228.30
dimer_004157,-19862.3026147946,-19870.022637821,1.80118379165,-19860.5014312751,1.23092,-6.3731,-0.3338,6.0393,-19610.3031105149,-19619.5069641083,1.756475733564,-19608.5466347813,1.11782,-9.4502,5.8641,15.3143,226.32
dimer_004158,-20735.3660354955,-20742.434381683,1.832064921054,-20733.5339705744,1.36409,-6.2563,-0.4579,5.7984,-20474.020182133,-20482.3973340743,1.788228716224,-20472.2319534168,1.31416,-9.2315,5.9842,15.2157,228.30
dimer_004166,-19862.0044853356,-19869.7172382923,1.813422663028,-19860.1910626726,1.17179,-6.4484,0.0871,6.5355,-19609.1492889225,-19618.3014517405,1.74045338913,-19607.4088355334,1.12817,-9.0653,5.9726,15.0379,226.32
dimer_004167,-20735.3926474284,-20742.5035693887,1.81148194598,-20733.5811654824,2.84853,-6.4207,-0.449,5.9717,-20472.9911223606,-20481.3530356458,1.76467969855,-20471.22644239,1.79012,-9.2015,5.2738,14.4753,228.30
dimer_004336,-16908.4600623077,-16915.7128430105,1.71417397958,-16906.7458883281,0.45463,-6.2838,-0.1839,6.0999,-16687.1755397937,-16695.7524315744,1.674863846912,-16685.5006762189,0.50772,-8.6116,5.3423,13.9539,212.34
dimer_004455,-18720.0578466732,-18727.2613924295,1.77850172918,-18718.2793446719,2.77253,-4.6709,0.6268,5.2977,-18478.9986084831,-18487.5735538324,1.703203159442,-18477.2954050516,3.21548,-6.6958,7.1059,13.8017,220.32
dimer_004484,-17846.4593401864,-17854.1769487452,1.860738389576,-17844.5986017968,3.0136,-4.908,0.4386,5.3466,-17614.4831269055,-17623.7139165195,1.799720634672,-17612.6834065429,3.25416,-7.3999,6.5823,13.9822,218.34
dimer_004485,-18928.2043667573,-18935.3107240053,1.779713180708,-18926.4246538488,0.62434,-5.4032,0.5546,5.9578,-18687.6496211204,-18696.1019698608,1.744304618572,-18685.9053165018,1.05545,-8.0212,6.1103,14.1315,220.31
dimer_004486,-18720.1766053862,-18727.3806866629,1.783775026386,-18718.3928303599,1.15031,-4.9763,0.4128,5.3891,-18478.8570604947,-18487.4404759365,1.701185434132,-18477.1558750606,3.74441,-6.9598,7.229,14.1888,220.32
dimer_004489,-18719.9604031941,-18727.1236295469,1.805804831598,-18718.1545983625,3.65356,-4.3375,0.5187,4.8562,-18478.8683907775,-18487.4244560411,1.7261415533,-18477.1422489521,2.60614,-6.5447,6.8054,13.3501,220.32
dimer_004533,-17845.7618151318,-17853.5017432973,1.839669963126,-17843.9221451687,3.14197,-5.3461,0.6285,5.9746,-17613.9704331085,-17623.2014216378,1.778441591986,-17612.1919915165,3.50308,-7.8418,6.9103,14.7521,218.34
dimer_004534,-18719.3626958133,-18726.5436620941,1.797903729494,-18717.5647920838,3.14403,-4.7223,0.6761,5.3984,-18478.309290931,-18486.8377458755,1.72482724268,-18476.5844636883,3.51027,-6.8291,7.1433,13.9724,220.32
dimer_004539,-17845.818460559,-17853.5694428114,1.828451247134,-17843.9900093118,3.7766,-5.154,0.4906,5.6446,-17614.0824681567,-17623.3360734412,1.758155221172,-17612.3243129355,2.98507,-7.5938,6.9901,14.5839,218.34
dimer_004540,-18719.5006151615,-18726.7164691783,1.770063746154,-18717.7305511432,2.87882,-4.8837,0.5224,5.4061,-18478.5499744035,-18487.0776413058,1.730876609014,-18476.8190977944,3.84466,-7.1184,7.0788,14.1972,220.32
dimer_004542,-18720.4957341547,-18727.7119054564,1.75255565928,-18718.7431787675,0.00046,-5.6887,0.6322,6.3209,-18479.3931389526,-18487.8992522492,1.72331020713,-18477.6698287454,0.00046,-8.1787,6.5698,14.7485,220.32
dimer_004544,-18719.4012317816,-18726.5995885961,1.784322791868,-18717.6169089898,3.51876,-4.5917,0.6412,5.2329,-18478.4758334067,-18486.9930407911,1.718963458094,-18476.7568696765,2.27371,-6.8788,7.0576,13.9364,220.32
dimer_011397,-18990.6316256499,-18999.039440213,1.787740271594,-18988.8438853783,1.33579,-6.5913,0.1563,6.7476,-18747.3977511492,-18757.4095773322,1.723432386316,-18745.6743187628,2.19755,-9.5694,6.6215,16.1909,224.34
dimer_011476,-21012.394928631,-21020.7904904449,1.827895590346,-21010.5670330406,1.08777,-7.0351,0.6497,7.6848,-20749.7130178419,-20759.6221389495,1.778453837116,-20747.9345640047,0.90583,-10.6048,12.1404,22.7452,232.32
dimer_004771,-17846.0768708979,-17853.8841962589,1.81023566386,-17844.2666352341,2.47399,-5.1488,0.3586,5.5074,-17613.9562045395,-17623.2873805456,1.73255528028,-17612.2236492593,2.0594,-7.7826,6.6651,14.4477,218.34
dimer_004772,-18927.6315572634,-18934.7933942021,1.758730470168,-18925.8728270653,0.64024,-5.6262,0.399,6.0252,-18686.9461000338,-18695.4607530841,1.715166107224,-18685.2309339266,1.57406,-8.4265,5.9843,14.4108,220.31
dimer_004773,-18719.6272453162,-18726.8779051626,1.757343777224,-18717.869901539,3.38973,-4.6279,0.5399,5.1678,-18478.3200133111,-18486.9604265676,1.667190232112,-18476.652823079,4.50598,-6.6252,6.6218,13.247,220.32
dimer_004777,-18720.5249972943,-18727.7522588741,1.753493636238,-18718.7715033859,5.65546,-5.5518,0.1797,5.7315,-18479.0746559106,-18487.5872691944,1.762934631468,-18477.311721007,3.78118,-8.0896,6.4279,14.5175,220.32
dimer_004782,-18719.277704815,-18726.5507136563,1.72528575477,-18717.5524190602,2.77927,-4.7987,0.5564,5.3551,-18478.2859220528,-18486.8497656951,1.714111121246,-18476.5718109316,3.45188,-6.7708,7.4677,14.2385,220.32
dimer_004813,-17845.467720035,-17853.2932990752,1.792135729036,-17843.675584306,1.73857,-5.5416,0.7756,6.3172,-17613.5427844605,-17622.8566363288,1.729150862026,-17611.8136335985,1.83825,-8.0554,6.9429,14.9983,218.34
dimer_004814,-18719.7718616621,-18726.9696543842,1.797514606474,-18717.9743470556,5.56776,-5.9474,0.3763,6.3237,-18478.6331708099,-18487.1734624413,1.725775832084,-18476.9073949778,6.9657,-8.2252,6.2103,14.4355,220.32
dimer_004817,-18718.5714881671,-18725.7867435331,1.778784999854,-18716.7927031673,1.49138,-4.6997,0.733,5.4327,-18477.7806493488,-18486.3029942456,1.730317958972,-18476.0503313899,2.61776,-6.9422,6.9109,13.8531,220.32
dimer_004828,-17846.1760774037,-17854.0459696646,1.749666352828,-17844.4264107788,2.49777,-5.0904,0.4141,5.5045,-17614.0424671266,-17623.4267355673,1.682581816294,-17612.3598853103,2.57778,-7.5949,6.5995,14.1944,218.34
dimer_004829,-18927.8058288651,-18934.9540209194,1.768256364966,-18926.0375725001,0.19556,-5.6696,0.3322,6.0018,-18687.1074505744,-18695.5984936535,1.732184661012,-18685.3752659134,0.17257,-8.3697,5.9911,14.3608,220.31
dimer_004830,-18719.6076879388,-18726.8015045311,1.81268060815,-18717.7950073306,2.0022,-5.1959,0.5522,5.7481,-18478.3309212729,-18486.9222685656,1.698797905896,-18476.632123367,2.98649,-6.8696,7.3414,14.211,220.32
dimer_004840,-18719.4159033522,-18726.6880648305,1.734807295744,-18717.6810960564,2.81832,-4.7908,0.5485,5.3393,-18478.4331572238,-18487.0547954307,1.67495282819,-18476.7582043956,3.34537,-7.0121,7.241,14.2531,220.32
dimer_004906,-17846.0730874249,-17853.8940154926,1.79302037165,-17844.2800670532,1.81322,-5.2561,0.5859,5.842,-17613.9481654756,-17623.2794984915,1.728981607118,-17612.2191838685,0.88134,-7.8412,6.8269,14.6681,218.34
dimer_004907,-18720.75937262,-18727.9802008806,1.76950019806,-18718.9898724219,7.72181,-5.2854,0.1303,5.4157,-18479.3222597863,-18487.8768765871,1.732975152182,-18477.5892846341,7.65373,-7.8025,5.8571,13.6596,220.32
dimer_004908,-18719.7729101173,-18727.0219800016,1.756663764338,-18718.016246353,0.61828,-5.0428,0.4754,5.5182,-18478.2136306149,-18486.7779409327,1.71731009343,-18476.4963202494,2.458,-6.9785,7.3288,14.3073,220.32
dimer_004911,-18927.6088180569,-18934.7493174485,1.781727912764,-18925.8270901442,1.59961,-5.7046,0.1792,5.8838,-18686.9675774476,-18695.4790543833,1.71757812572,-18685.2499993219,1.73927,-8.5195,5.9662,14.4857,220.31
dimer_004916,-18719.2720935522,-18726.489795223,1.768246840976,-18717.5038467112,0.82928,-4.7336,0.756,5.4896,-18478.2729465688,-18486.8337164114,1.70948001308,-18476.5634665558,0.50746,-7.021,7.0582,14.0792,220.32
dimer_004943,-17845.585879553,-17853.4413065058,1.757002546268,-17843.8288772788,2.29857,-5.4104,0.6979,6.1083,-17613.6453891259,-17622.9513521372,1.723545313626,-17611.9218438123,4.13984,-7.9197,6.8114,14.7311,218.34
dimer_004944,-18719.1182231534,-18726.3416068367,1.7784826812,-18717.3397404722,3.46282,-4.529,0.5967,5.1257,-18477.963317028,-18486.5189213305,1.70515203991,-18476.2581649881,3.16485,-6.8234,6.7842,13.6076,220.32
dimer_004946,-18719.991030169,-18727.224137846,1.754778558546,-18718.2362516104,7.78476,-5.566,0.161,5.727,-18478.8110223434,-18487.3731116668,1.699963098044,-18477.1110595175,3.80414,-8.4374,6.4735,14.9109,220.32
dimer_004958,-16908.3890193288,-16915.7020126012,1.66197026925,-16906.7270490595,0.97823,-6.3025,-0.0888,6.2137,-16687.142839038,-16695.7934631003,1.610134729162,-16685.5327043088,1.00927,-8.6909,5.3889,14.0798,212.34
dimer_005062,-18719.8848499256,-18727.0423123597,1.815205009728,-18718.0696446438,3.34589,-4.2699,0.6449,4.9148,-18478.6624881002,-18487.2213256612,1.712799531766,-18476.9496885684,3.28605,-6.8159,7.1244,13.9403,220.32
dimer_005076,-17846.3628093776,-17854.1214959937,1.823830207186,-17844.5389788983,1.65223,-5.1494,0.6446,5.794,-17614.3977963089,-17623.6387583606,1.79005432905,-17612.6077419799,3.28168,-7.5945,6.6226,14.2171,218.34
dimer_005077,-18719.8927118433,-18727.0698407725,1.80347771267,-18718.0892341306,2.77107,-4.6976,0.631,5.3286,-18478.7601914482,-18487.2756592078,1.76807704184,-18476.9921146785,3.96805,-6.5566,6.7414,13.298,220.32
dimer_005079,-18720.0005560638,-18727.2176773154,1.766288708632,-18718.2342673551,2.18879,-4.8503,0.486,5.3363,-18478.7775411647,-18487.363872308,1.700464332032,-18477.0770771048,3.53622,-7.0246,7.3252,14.3498,220.32
dimer_005084,-18928.0210789304,-18935.1344684204,1.777401572278,-18926.2436773581,1.60965,-5.556,0.4337,5.9897,-18687.5374486547,-18696.0011475421,1.739970931008,-18685.7974777236,2.06005,-8.306,6.0264,14.3324,220.31
dimer_005107,-17845.8386993098,-17853.6322143411,1.79176592611,-17844.0469333837,4.14352,-4.9391,0.4489,5.388,-17614.274376011,-17623.5913435845,1.704331888314,-17612.5700441226,1.52384,-7.7202,6.9174,14.6376,218.34
dimer_005108,-18719.4402605484,-18726.6241324625,1.798220198076,-18717.6420403503,3.53822,-4.7734,0.4505,5.2239,-18478.7383064077,-18487.3498241506,1.656126893214,-18477.0821797866,3.5157,-6.8931,7.0336,13.9267,220.32
dimer_005117,-17845.7737293712,-17853.5547970917,1.80475936961,-17843.9689702737,3.69285,-5.1585,0.5363,5.6948,-17614.0797331389,-17623.3380508936,1.757521467666,-17612.3222116712,4.12415,-7.6153,6.872,14.4873,218.34
dimer_005118,-18719.6419266828,-18726.8701749481,1.75962926271,-18717.882297148,0.42885,-4.8488,0.581,5.4298,-18478.5434768654,-18487.0890232902,1.71871964395,-18476.8247572214,3.48995,-7.2667,6.9431,14.2098,220.32
dimer_005120,-18719.4120668169,-18726.6418160629,1.756645260586,-18717.6554215563,2.75581,-4.9643,0.724,5.6883,-18478.4385684828,-18486.9836536744,1.709485999588,-18476.7290822111,3.5023,-6.753,6.9831,13.7361,220.32
dimer_005125,-18720.4269595181,-18727.6146211639,1.781430764276,-18718.6455287538,0.08558,-5.5044,0.6211,6.1255,-18479.203063514,-18487.6889013243,1.752934986196,-18477.4501285278,7.32684,-8.1535,6.34,14.4935,220.32
dimer_005220,-17845.8167984866,-17853.7021906331,1.761284260058,-17844.0555142266,3.18703,-5.2188,0.2671,5.4859,-17613.5172778547,-17622.9151789347,1.695596212572,-17611.8216816421,2.98834,-7.815,6.4364,14.2514,218.34
dimer_005221,-18927.2833542025,-18934.4910883374,1.738735261334,-18925.544618669,1.29558,-5.8941,0.0888,5.9829,-18686.4828586025,-18695.0266800967,1.7126038818,-18684.7702547207,1.41313,-8.7031,5.6754,14.3785,220.31
dimer_005222,-18720.1601699728,-18727.4377614859,1.748434764864,-18718.4117352079,9.75144,-5.3761,-0.1521,5.224,-18478.7123165274,-18487.3663629675,1.678983108644,-18477.0333334188,9.45701,-7.965,5.6673,13.6323,220.32
dimer_005224,-18720.3358285395,-18727.6398785133,1.720173276938,-18718.6156552626,6.91474,-5.5924,0.1045,5.6969,-18478.8174483155,-18487.485616928,1.659567230516,-18477.157881085,8.207,-8.0079,5.7108,13.7187,220.32
dimer_005226,-18719.2518844618,-18726.5551044878,1.712846335374,-18717.5390383985,2.57087,-4.9806,0.3576,5.3382,-18477.9152946214,-18486.5172987147,1.692239414268,-18476.2230552071,5.81077,-6.6553,6.959,13.6143,220.32
dimer_005249,-17845.537760818,-17853.4023697135,1.772507874102,-17843.7652526718,3.44886,-5.3696,0.4802,5.8498,-17613.2601091719,-17622.6345605559,1.71314947037,-17611.5469594294,3.44412,-8.012,6.779,14.791,218.34
dimer_005250,-18720.222253054,-18727.5154949318,1.728244450292,-18718.4940086037,8.16273,-5.5683,0.0046,5.5729,-18478.6612619545,-18487.3015753452,1.687069520382,-18476.9741924341,8.05666,-8.0948,5.7248,13.8196,220.32
dimer_005251,-18927.0788436604,-18934.2792239145,1.75053929454,-18925.3283040937,1.96414,-5.9914,0.0732,6.0646,-18686.3029433565,-18694.9005792037,1.668729308896,-18684.6342140476,2.31313,-8.7129,5.856,14.5689,220.31
dimer_005253,-18719.0310304807,-18726.3201095585,1.718781685942,-18717.3122487948,2.48889,-4.8249,0.7969,5.6218,-18477.7805502993,-18486.4184492225,1.657354943696,-18476.1231953556,2.724,-7.0249,6.9624,13.9873,220.32
dimer_005269,-17845.3185046904,-17853.1811013028,1.77440777405,-17843.5440969164,3.90772,-5.5035,0.3417,5.8452,-17613.3008530732,-17622.7080563704,1.661256786342,-17611.6395960148,1.51952,-8.1954,6.662,14.8574,218.34
dimer_005270,-18719.6213042512,-18726.9336790086,1.716166398288,-18717.905137853,3.18456,-6.2264,0.1566,6.383,-18478.3428523833,-18486.9331210162,1.70122271375,-18476.6416293975,3.38316,-8.7364,6.0289,14.7653,220.32
dimer_005301,-17845.8830198776,-17853.7904429177,1.71895910427,-17844.1640607733,1.21918,-5.4522,0.4622,5.9144,-17613.6683511937,-17623.0956199051,1.643655908594,-17612.0246952851,0.46535,-7.9768,6.8385,14.8153,218.34
dimer_005302,-18927.3589382198,-18934.5871473006,1.70143768381,-18925.6575002639,0.82559,-5.9377,0.1512,6.0889,-18686.5849587686,-18695.1243725602,1.690771903466,-18684.8941868651,0.94202,-8.7672,5.7068,14.474,220.31
dimer_005303,-18720.2165215168,-18727.483980321,1.735580643732,-18718.4809408731,9.93659,-5.3806,-0.1455,5.2351,-18478.8580191524,-18487.4816810711,1.686638219692,-18477.1713806606,9.49897,-7.92,5.7072,13.6272,220.32
dimer_005305,-18720.235285954,-18727.5502196714,1.686904619298,-18718.5483813347,4.06923,-5.8983,0.1851,6.0834,-18478.9440112581,-18487.5816318086,1.663466624136,-18477.2805446339,7.96946,-8.0282,5.8033,13.8315,220.32
dimer_005313,-18718.7956222103,-18726.1071120529,1.680436469518,-18717.1151857408,0.00326,-5.2686,0.6298,5.8984,-18477.8030688213,-18486.372821147,1.699750032782,-18476.1033187885,3.38247,-7.0706,7.1017,14.1723,220.32
dimer_005317,-17845.5626524462,-17853.4230626226,1.754913254976,-17843.8077391912,2.621,-5.561,0.7412,6.3022,-17613.3885211291,-17622.7392572337,1.713811523732,-17611.6747093332,2.07541,-8.2015,6.892,15.0935,218.34
dimer_005318,-18720.2837184364,-18727.5538347059,1.728116012484,-18718.555602696,8.46178,-5.522,-0.0336,5.4884,-18478.7998177774,-18487.4198510559,1.682990259408,-18477.1168275179,8.17891,-8.0423,5.7003,13.7426,220.32
dimer_005319,-18927.1207513933,-18934.319190114,1.733728907962,-18925.3870224853,1.69722,-6.0281,0.0638,6.0919,-18686.4165659177,-18694.9892113595,1.66764384615,-18684.7489220716,1.80101,-9.0115,5.6725,14.684,220.31
dimer_005325,-18718.5091727006,-18725.7641880036,1.729021063648,-18716.780151909,3.94976,-4.4348,0.599,5.0338,-18477.7427825088,-18486.303534664,1.722573866646,-18476.0202089143,3.00101,-6.5956,6.6391,13.2347,220.32
dimer_005329,-17845.456525265,-17853.3035038944,1.75915986606,-17843.6973651269,4.12837,-5.48,0.543,6.023,-17613.5276151934,-17622.9093102521,1.650140657328,-17611.877474264,0.96469,-8.2199,6.7538,14.9737,218.34
dimer_005330,-18719.7964191342,-18727.10766353,1.685160912786,-18718.1112582214,1.58948,-6.0329,0.4439,6.4768,-18478.6064399633,-18487.2427388561,1.63238059289,-18476.9740596425,2.35775,-8.4747,6.2216,14.6963,220.32
dimer_005379,-16908.1022557995,-16915.4637144801,1.655373409548,-16906.4468823899,0.38959,-6.5345,-0.3974,6.1371,-16686.6694469381,-16695.3540204873,1.61032031091,-16685.0591266272,0.72047,-8.8492,5.147,13.9962,212.34
dimer_005520,-17845.8943275748,-17853.7041634596,1.804882093024,-17844.0894454818,2.97814,-5.2149,0.4994,5.7143,-17613.9267628932,-17623.2623977593,1.73114164805,-17612.1956212451,1.87818,-7.7069,6.6406,14.3475,218.34
dimer_005521,-18927.6033278849,-18934.7900523701,1.742447168408,-18925.8608807165,1.24309,-5.6758,0.3144,5.9902,-18686.936655229,-18695.4692784158,1.703086150422,-18685.2335690786,1.68992,-8.62,5.8225,14.4425,220.31
dimer_005522,-18720.3232979619,-18727.5520156238,1.757948142418,-18718.5653498195,6.70691,-5.5297,0.2511,5.7808,-18478.9177710329,-18487.535535697,1.67035138045,-18477.2474196525,6.05588,-8.1202,6.4843,14.6045,220.32
dimer_005524,-18719.5719049478,-18726.8904482574,1.70865958937,-18717.8632453584,1.08706,-4.7818,0.7512,5.533,-18478.2023781568,-18486.8525219378,1.655731511572,-18476.5466466452,1.77129,-6.699,6.9063,13.6053,220.32
dimer_005532,-18719.3980807015,-18726.6645057446,1.74123299574,-18717.6568477058,1.80564,-5.2677,0.477,5.7447,-18478.2830868971,-18486.8885958187,1.679129233862,-18476.6039576632,2.78359,-6.7768,7.2505,14.0273,220.32
dimer_005566,-17846.0800796662,-17853.9158768592,1.78279024582,-17844.2972891483,1.23096,-5.2587,0.5979,5.8566,-17613.9583556007,-17623.3064587303,1.718642907802,-17612.2397126929,0.35399,-7.7422,6.8628,14.605,218.34
dimer_005567,-18720.5036665499,-18727.7389908676,1.758794416958,-18718.744872133,1.38174,-5.6716,0.4299,6.1015,-18479.0638453656,-18487.6803223863,1.674969971372,-18477.3888753942,0.01652,-8.2688,6.4913,14.7601,220.32
dimer_005568,-18927.6128733719,-18934.7898474682,1.74770114552,-18925.8651722264,1.10415,-5.7769,0.242,6.0189,-18686.9671194798,-18695.5136893254,1.68928915428,-18685.2778303255,1.20881,-8.4777,5.7933,14.271,220.31
dimer_005570,-18719.6252496321,-18726.9359903449,1.71231544096,-18717.9129341912,2.39405,-4.9546,0.5625,5.5171,-18478.25442649,-18486.8297043626,1.715846936452,-18476.5385795536,1.89067,-6.8844,7.03,13.9144,220.32
dimer_005575,-18719.1274377498,-18726.3600368458,1.759145444018,-18717.3682923058,3.33953,-4.482,0.6194,5.1014,-18478.2075983917,-18486.7917226905,1.710713233728,-18476.496885158,2.16509,-6.5561,6.7684,13.3245,220.32
dimer_005602,-17845.4789610643,-17853.3502792026,1.756028922376,-17843.7229318699,1.3839,-5.4193,0.5446,5.9639,-17613.5931103121,-17622.9597797799,1.681096073854,-17611.9120145104,1.77862,-7.9428,6.7336,14.6764,218.34
dimer_005603,-18719.9108691942,-18727.1900054985,1.733545503126,-18718.1773234189,1.33791,-5.8015,0.3008,6.1023,-18478.6667768889,-18487.2323065496,1.71000927481,-18476.9567676141,7.08168,-8.3421,6.0844,14.4265,220.32
dimer_005604,-18719.8880309383,-18727.1658306187,1.729656177724,-18718.1583747605,4.90788,-5.6736,0.292,5.9656,-18478.7722926299,-18487.3608349715,1.683509997148,-18477.0887823607,4.47234,-8.3208,6.2515,14.5723,220.32
dimer_005608,-18718.7749099811,-18726.0395532217,1.73976630128,-18717.0351436798,1.52024,-5.2477,0.7641,6.0118,-18477.8664438998,-18486.4396485358,1.69550287747,-18476.1709410223,2.92571,-7.4297,6.9444,14.3741,220.32
dimer_005614,-17845.9401042246,-17853.7696417072,1.79019174662,-17844.149912478,2.53093,-5.2802,0.5812,5.8614,-17613.7917693147,-17623.1337232121,1.720599407462,-17612.0711699072,2.62977,-7.8796,6.5703,14.4499,218.34
dimer_005615,-18719.4053559414,-18726.6405915499,1.775525074134,-18717.6298308673,2.24989,-4.9857,0.5464,5.5321,-18478.1846404057,-18486.8091902324,1.68608909364,-18476.498551312,3.94855,-6.754,6.6559,13.4099,220.32
dimer_005617,-18927.3612383994,-18934.541218267,1.754815021822,-18925.6064233776,1.57282,-5.8883,0.0881,5.9764,-18686.7906872929,-18695.3218606563,1.70758065736,-18685.0831063634,2.6449,-8.6277,5.9081,14.5358,220.31
dimer_005619,-18719.1282464726,-18726.3550715816,1.76481983726,-18717.3634263632,2.5497,-4.4925,0.728,5.2205,-18478.1845979559,-18486.761994236,1.713795196892,-18476.4708024869,3.52088,-6.6935,6.7163,13.4098,220.32
dimer_005634,-17845.7414103914,-17853.6352331738,1.725564127392,-17844.0158465361,0.59429,-5.4449,0.6483,6.0932,-17613.7821149821,-17623.1243507896,1.693374673876,-17612.0887403082,1.77175,-7.8035,6.7146,14.5181,218.34
dimer_005635,-18719.4190740245,-18726.6944859045,1.73163689553,-18717.687437129,2.08078,-4.9443,0.6961,5.6404,-18478.2495649013,-18486.8556082548,1.663903911334,-18476.5856609899,4.34261,-6.8473,6.9124,13.7597,220.32
dimer_005637,-18720.1377102274,-18727.4206169434,1.708020393584,-18718.4296898338,0.64584,-5.7676,0.6038,6.3714,-18478.9973924057,-18487.6202937657,1.643319847804,-18477.35407283,0.79513,-8.3317,6.5401,14.8718,220.32
dimer_005639,-18720.0435016395,-18727.3163572806,1.727886076154,-18718.3156155633,3.16586,-5.8816,0.4505,6.3321,-18478.9624064366,-18487.5946549126,1.644134285006,-18477.3182721516,0.52745,-8.3721,6.57,14.9421,220.32
dimer_005814,-17099.4654420631,-17110.247734547,1.908656304406,-17097.5567857587,0.00899,-7.437,0.6057,8.0427,-16871.5738272723,-16884.5129459334,1.832891603386,-16869.7409356689,0.002,-10.6858,13.1236,23.8094,224.43
dimer_005815,-19056.0330404934,-19065.5368897036,1.86123390917,-19054.1718065842,3.91512,-6.403,0.5618,6.9648,-18810.1067481696,-18821.4000952357,1.826951354766,-18808.2797968148,4.04776,-9.7491,10.7042,20.4533,228.38
dimer_005816,-19055.6708222009,-19065.181087315,1.863087821852,-19053.8077341069,2.7345,-7.0157,0.3715,7.3872,-18809.5234361637,-18820.8664824028,1.816532926048,-18807.7069032376,3.14077,-10.1158,12.7035,22.8193,228.38
dimer_005817,-21011.989077947,-21020.2836345817,1.79127339977,-21010.1978045473,0.67365,-6.7216,0.3493,7.0709,-20747.6780190072,-20757.5055135341,1.744274413918,-20745.9337448654,0.47615,-9.8857,11.8996,21.7853,232.32
