name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
007-BA-MEL-BA,-38813.5112441411,-38820.2588631626,2.169384238304,-38811.3418599028,0.4238,-6.5353,-1.7413,4.794,-38338.3177934095,-38346.0753687121,2.0874000997,-38336.2303930377,0.48954,-9.061,3.8577,12.9187,382.30
008-MEL-BA-MEL,-37626.9996273829,-37634.3664135115,2.248438253356,-37624.7511891296,0.80964,-6.4446,-1.7752,4.6694,-37160.079312744,-37168.5893580879,2.072236819164,-37158.0070759248,0.7729,-8.9259,3.8056,12.7315,380.33
6,-27617.1102916018,-27623.0000984496,1.87820838049,-27615.2320832213,1.46217,-6.3097,-1.4838,4.8259,-27275.075084171,-27281.8836901984,1.798517618678,-27273.2765665523,0.89428,-8.8115,4.0223,12.8338,282.26
7,-27617.0986018564,-27623.0275874059,1.8509738508,-27615.2476280056,0.74395,-6.5961,-1.3671,5.229,-27275.1011529643,-27281.9340712892,1.766027751306,-27273.335125213,0.43373,-9.1517,4.3953,13.547,282.26
9,-43087.5158398914,-43097.1084760902,2.553826897504,-43084.9620129939,0.8787,-6.4793,-1.5184,4.9609,-42556.356266581,-42567.3987830436,2.451023588874,-42553.9052429921,0.8225,-8.9838,4.0618,13.0456,438.41
10,-43087.5205474636,-43097.1194221479,2.553159401862,-43084.9673880617,1.70746,-6.6825,-1.503,5.1795,-42556.3689313108,-42567.4213374846,2.428421255806,-42553.940510055,0.05209,-9.3021,4.3053,13.6074,438.41
11,-39763.6663518243,-39772.5206001533,2.389964200528,-39761.2763876237,2.03163,-6.222,-1.2174,5.0046,-39268.8122409111,-39278.9220545293,2.276646679052,-39266.5355942321,1.51369,-8.7573,4.3651,13.1224,408.39
12,-39763.6143922002,-39772.476559863,2.38742211154,-39761.2269698165,0.93749,-6.4608,-1.2454,5.2154,-39268.741770188,-39278.8355625501,2.288055330616,-39266.4537148574,0.98677,-9.0553,4.5389,13.5942,408.39
14,-55234.0600982576,-55246.546756644,3.122097802088,-55230.9380004555,1.0161,-6.2731,-1.4414,4.8317,-54549.9356189702,-54564.2357650549,2.982337602662,-54546.9532810955,1.74343,-8.7061,4.1197,12.8258,564.53
15,-55234.2546867069,-55246.8948361652,2.995302746306,-55231.2593842327,0.66941,-6.3794,-1.4746,4.9048,-54550.1407295237,-54564.4773971168,2.938498948806,-54547.2022305749,0.6255,-8.7787,4.182,12.9607,564.53
16,-55234.4091416066,-55247.0664671726,2.97398152595,-55231.4351600806,2.18093,-6.6047,-1.3632,5.2415,-54549.9186991938,-54564.2320044394,2.966595535648,-54546.9521033861,0.71764,-8.6568,3.9162,12.573,564.53
17,-55234.0558636195,-55246.5521436849,3.119685511478,-55230.9361781081,0.84116,-6.5568,-1.3209,5.2359,-54550.0965330399,-54564.433031106,2.935342426406,-54547.1611903414,1.46087,-8.939,4.3828,13.3218,564.53
18,-55234.1887695394,-55246.7582980676,3.046542900962,-55231.1422269106,1.29509,-6.3243,-1.4658,4.8585,-54550.0973314224,-54564.4435741629,2.930329814412,-54547.167001608,1.38455,-8.7319,4.2039,12.9358,564.53
19,-55234.3042759459,-55246.9631686165,2.97933400833,-55231.3249416655,2.03729,-6.5872,-1.4067,5.1805,-54550.2785103659,-54564.6924188784,2.885008683484,-54547.3935016824,1.12261,-8.9866,4.2866,13.2732,564.53
21,-55234.3886957769,-55247.0759889857,2.954470407922,-55231.434225369,0.11123,-6.3591,-1.3243,5.0348,-54550.3320232167,-54564.7233269471,2.905341041564,-54547.4266821751,0.20779,-8.7837,4.2733,13.057,564.53
22,-55234.2689941889,-55246.9690411087,2.943328155964,-55231.3256663051,3.00006,-6.3099,-1.5438,4.7661,-54550.0410079061,-54564.4672671289,2.863901616846,-54547.1771062893,0.99433,-8.8105,4.0702,12.8807,564.53
23,-55234.2144630875,-55246.9058804561,2.95249948622,-55231.2619636013,1.29156,-6.3845,-1.4974,4.8871,-54550.106398533,-54564.4493122308,2.930099605968,-54547.176298927,1.03707,-8.8556,4.1158,12.9714,564.53
24,-55234.1488300071,-55246.7582523525,3.020288798014,-55231.1285412091,2.46623,-6.3671,-1.6382,4.7289,-54550.087646613,-54564.4840200994,2.887393218466,-54547.2002533946,0.77973,-8.816,4.0075,12.8235,564.53
26,-58558.3553036145,-58571.7454806188,3.14443101441,-58555.2108726001,1.63036,-6.5059,-1.559,4.9469,-57837.9646568242,-57853.267970762,3.084462258976,-57834.8801945652,0.76152,-8.9769,3.9459,12.9228,594.55
